net,length_um
_2390_,162.63µm
net139,161.82µm
net22,161.67µm
net79,161.25µm
U_TOP.U_CACHE.DM_ADDR\[9\],160.84µm
net162,160.38µm
_1358_,160.27µm
net384,160.245µm
clknet_leaf_28_clk,160.02µm
net233,159.61µm
U_TOP.U_CACHE.bus_pend_rdata\[6\],159.46µm
net191,159.01µm
_1364_,158.8µm
U_TOP.U_CACHE.bus_pend_rdata\[0\],158.535µm
net306,157.31µm
net73,156.77µm
net74,156.71µm
clknet_leaf_7_clk,156.27µm
U_TOP.U_CACHE.dm_mis_dphase_wdata\[3\],156.22µm
_2397_,155.88µm
net334,155.66µm
_1476_,155.27µm
net34,153.33µm
net252,153.33µm
U_TOP.U_CACHE.dm_mis_dphase_wdata\[0\],152.32µm
_1260_,152.3µm
net77,152.195µm
_1876_,150.965µm
_2228_,150.06µm
net105,149.72µm
net173,148.83µm
net72,148.735µm
net126,148.14µm
_0887_,147.56µm
clknet_leaf_16_clk,147.56µm
U_TOP.U_CPU.dr_data\[6\],146.67µm
net83,146.34µm
net11,146.02µm
clknet_leaf_29_clk,145.87µm
_2391_,145.78µm
_2389_,145.63µm
clknet_leaf_42_clk,145.46µm
_2405_,145.38µm
_0707_,144.46µm
clknet_leaf_31_clk,144.24µm
clknet_leaf_53_clk,143.96µm
net310,143.84µm
net266,143.81µm
net286,143.795µm
_2028_,142.98µm
U_TOP.U_CACHE.dm_mis_dphase_wdata\[4\],141.86µm
net205,140.98µm
_0708_,139.68µm
_0935_,139.015µm
clknet_leaf_45_clk,138.4µm
net144,137.195µm
clk,137.09µm
_1738_,136.82µm
_2403_,136.72µm
net303,136.54µm
net265,136.5µm
net261,135.62µm
_0709_,135.335µm
U_TOP.U_CPU.dr_data\[7\],134.51µm
_2401_,134.11µm
net70,134.06µm
clknet_leaf_41_clk,133.45µm
net102,132.89µm
clknet_leaf_26_clk,132.64µm
net251,132.21µm
net244,131.635µm
net24,131µm
net81,130.53µm
_1873_,130.02µm
net147,129.895µm
clknet_leaf_25_clk,129.79µm
_0952_,129.48µm
net263,128.36µm
_1262_,127.28µm
clknet_leaf_37_clk,127.215µm
clknet_leaf_0_clk,126.8µm
_1886_,126.78µm
U_TOP.U_UART.txd_dphase,126.36µm
net159,126.14µm
net29,126.1µm
_1808_,126.03µm
net208,125.65µm
clknet_leaf_24_clk,125.63µm
net289,125.47µm
net31,125.4µm
net119,125.05µm
clknet_leaf_43_clk,124.215µm
net203,123.73µm
_1259_,123.46µm
net315,123.32µm
_0745_,123.3µm
net239,122.74µm
_1560_,122.275µm
net146,122.22µm
_0905_,122.135µm
net282,121.55µm
net292,121.42µm
net313,121.23µm
net298,120.81µm
U_TOP.U_CPU.dr_data\[4\],120.48µm
_2334_,120.42µm
net50,119.3µm
net207,119.18µm
net148,119.13µm
net128,118.94µm
clknet_leaf_22_clk,118.62µm
_1142_,118.43µm
net21,118.31µm
clknet_leaf_30_clk,117.44µm
net229,116.7µm
net195,116.695µm
clknet_leaf_34_clk,116.34µm
clknet_leaf_12_clk,115.72µm
net317,115.29µm
net33,115.24µm
net35,115.225µm
_2242_,115.18µm
net149,114.865µm
_1111_,114.78µm
clknet_leaf_32_clk,114.5µm
_2393_,113.25µm
U_TOP.U_CACHE.DM_ADDR\[0\],112.58µm
clknet_leaf_36_clk,112.28µm
net8,111.95µm
net153,111.86µm
_2037_,111.76µm
U_TOP.U_CACHE.if_hit_dphase_addr\[4\],111.49µm
_0911_,110.64µm
clknet_leaf_39_clk,110.46µm
clknet_leaf_6_clk,110.04µm
_2249_,110.01µm
_0948_,109.95µm
clknet_leaf_8_clk,109.84µm
net27,109.76µm
_0711_,109.55µm
_2256_,109.31µm
_1121_,109.26µm
_2221_,108.86µm
net80,108.86µm
_0778_,108.8µm
U_TOP.U_CPU.dr_data\[0\],108.66µm
net108,108.54µm
_1717_,108.39µm
_1100_,107.5µm
_2235_,107.32µm
net316,107.14µm
net241,106.69µm
net294,106.65µm
_1877_,106.51µm
net115,105.825µm
net179,105.445µm
_1952_,105.08µm
clknet_leaf_40_clk,104.86µm
clknet_leaf_38_clk,104.82µm
net314,104.62µm
clknet_leaf_44_clk,104.42µm
clknet_leaf_3_clk,104.38µm
clknet_leaf_9_clk,104.28µm
net330,104.24µm
U_TOP.U_CACHE.bus_pend_rdata\[2\],104.12µm
net276,104.11µm
U_TOP.U_CACHE.bus_pend_rdata\[1\],104.01µm
