net,length_um
_1058_,37.46µm
_1144_,37.38µm
_2433_,37.34µm
_0836_,37.22µm
_0929_,37.1µm
_1542_,37.08µm
_1305_,37.06µm
U_TOP.U_CACHE.dc_a0\[6\],37.02µm
U_TOP.U_CACHE.dc_d0\[27\],37µm
_0014_,36.82µm
uio_in[3],36.63µm
_0827_,36.58µm
U_TOP.U_CACHE.dc_d0\[9\],36.4µm
net202,36.305µm
_0798_,36.3µm
_1724_,36.24µm
_0794_,36.17µm
net275,36.13µm
_1242_,36.08µm
_0890_,36.06µm
_0718_,36µm
_0916_,35.96µm
U_TOP.U_UART.BRG.ps\[0\],35.9µm
_1194_,35.84µm
_1253_,35.84µm
U_TOP.U_CPU.ir_data\[2\],35.78µm
U_TOP.U_UART.BRG.div0\[3\],35.72µm
U_TOP.U_CACHE.dc_a1\[9\],35.64µm
_2425_,35.62µm
_0976_,35.54µm
_1805_,35.5µm
U_TOP.U_UART.U_SASC_TOP.din_i\[2\],35.46µm
net134,35.4µm
_2515_,35.38µm
_0973_,35.36µm
_1967_,35.36µm
U_TOP.U_CACHE.if_mis_dphase_addr\[4\],35.285µm
_1335_,35.14µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.din\[0\],35.09µm
U_TOP.U_CACHE.ic_a3\[2\],34.91µm
U_TOP.U_CACHE.IF_ADDR\[6\],34.895µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.din\[5\],34.86µm
_1171_,34.79µm
_0858_,34.72µm
_1136_,34.72µm
_1544_,34.72µm
_0937_,34.56µm
_2264_,34.54µm
_1281_,34.52µm
_2327_,34.5µm
U_TOP.U_CACHE.dc_d1\[6\],34.485µm
_1923_,34.4µm
_1472_,34.28µm
_1513_,34.2µm
_1264_,34.18µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[0\]\[4\],34.14µm
U_TOP.U_CACHE.dc_d0\[12\],34.13µm
U_TOP.U_UART.BRG.br_cnt\[2\],34.12µm
U_TOP.U_CACHE.dc_d1\[19\],34.1µm
_1408_,33.94µm
_0719_,33.92µm
U_TOP.U_CACHE.ic_a2\[5\],33.81µm
U_TOP.U_CACHE.dc_d1\[3\],33.8µm
U_TOP.U_CACHE.dc_d0\[26\],33.78µm
_1588_,33.78µm
_1123_,33.76µm
_1948_,33.76µm
_1435_,33.74µm
_1157_,33.67µm
_1562_,33.48µm
U_TOP.U_CACHE.if_mis_dphase_addr\[1\],33.46µm
U_TOP.U_CACHE.bus_count\[0\],33.44µm
_0833_,33.42µm
_1028_,33.34µm
_1039_,33.32µm
_1502_,33.32µm
_1473_,33.26µm
U_TOP.U_CACHE.ic_a0\[7\],33.25µm
_1244_,33.22µm
_2024_,33.22µm
_1087_,33.18µm
U_TOP.U_CACHE.dc_d0\[30\],33.16µm
U_TOP.U_UART.U_SASC_TOP.din_i\[3\],33.1µm
U_TOP.U_RAM.qspi_txd\[3\],33.02µm
_1286_,33.01µm
_1563_,32.9µm
_2354_,32.88µm
_2514_,32.88µm
U_TOP.U_CPU.seq\[3\],32.84µm
_1160_,32.82µm
_1578_,32.72µm
_1221_,32.7µm
_2499_,32.64µm
_1456_,32.52µm
net320,32.5µm
U_TOP.U_CPU.indent\[13\],32.46µm
_1040_,32.42µm
U_TOP.U_CACHE.dc_d1\[15\],32.34µm
_0687_,32.34µm
_1851_,32.34µm
U_TOP.U_CACHE.ic_a2\[6\],32.32µm
_1323_,32.26µm
_1432_,32.24µm
U_TOP.U_CPU.state\[1\],32.22µm
_0821_,32.18µm
U_TOP.U_UART.U_SASC_TOP.rx_bit_cnt\[0\],32.115µm
U_TOP.U_UART.BRG.sio_ce_x4,32.08µm
_1590_,32.04µm
_0994_,32.03µm
U_TOP.U_UART.BRG.ps\[1\],32.02µm
U_TOP.U_CACHE.dc_v0,31.94µm
_1889_,31.84µm
_1636_,31.8µm
_2429_,31.78µm
_1337_,31.68µm
_1666_,31.66µm
_1673_,31.66µm
net138,31.62µm
U_TOP.U_UART.U_SASC_TOP.tx_bit_cnt\[0\],31.61µm
_1174_,31.58µm
_2381_,31.5µm
U_TOP.U_CACHE.bus_inst,31.48µm
U_TOP.U_UART.U_SASC_TOP.din_i\[6\],31.44µm
U_TOP.U_CACHE.dc_d1\[25\],31.4µm
U_TOP.U_RAM.addr\[3\],31.36µm
U_TOP.U_UART.U_SASC_TOP.din_i\[7\],31.3µm
uio_in[6],31.27µm
_1099_,31.26µm
U_TOP.U_RAM.qspi_sckenb,31.24µm
_0986_,31.24µm
_1722_,31.24µm
net385,31.235µm
net133,31.16µm
_1572_,31.12µm
_1897_,31.12µm
U_TOP.U_CACHE.dc_a0\[7\],31.08µm
_1567_,31.08µm
_1025_,31.01µm
U_TOP.U_CPU.indent\[3\],30.92µm
_1313_,30.92µm
U_TOP.U_CACHE.dc_d1\[23\],30.9µm
_1774_,30.86µm
_1980_,30.78µm
_2379_,30.76µm
_1996_,30.74µm
_1307_,30.72µm
_1200_,30.7µm
U_TOP.U_CPU.ir_data\[5\],30.54µm
U_TOP.U_CACHE.DM_ADDR\[11\],30.52µm
U_TOP.U_CACHE.dc_d0\[11\],30.49µm
_2625_,30.48µm
U_TOP.U_UART.U_SASC_TOP.din_i\[1\],30.4µm
_1272_,30.385µm
_1596_,30.38µm
U_TOP.U_UART.U_SASC_TOP.rx_bit_cnt\[1\],30.35µm
_1046_,30.26µm
U_TOP.U_UART.U_SASC_TOP.txf_empty_r,30.175µm
_1138_,30.17µm
U_TOP.U_CPU.ir_data\[0\],30.14µm
_1203_,30.1µm
_0982_,30.06µm
_0912_,29.98µm
_1444_,29.96µm
net223,29.9µm
U_TOP.U_CACHE.ic_d3\[17\],29.81µm
_1958_,29.72µm
U_TOP.U_CACHE.ic_v3,29.68µm
_0837_,29.56µm
_1403_,29.56µm
_2341_,29.56µm
_0856_,29.54µm
U_TOP.U_CACHE.dc_d1\[13\],29.52µm
_1756_,29.48µm
U_TOP.U_CACHE.ic_a3\[6\],29.47µm
U_TOP.U_RAM.addr\[1\],29.46µm
_1141_,29.4µm
_2508_,29.4µm
_2687_,29.4µm
_2131_,29.38µm
_1697_,29.32µm
_2010_,29.32µm
_1193_,29.28µm
_0771_,29.18µm
_0951_,29.12µm
_1862_,29.12µm
U_TOP.U_CACHE.ic_d3\[22\],29.08µm
_1177_,29.04µm
_2503_,29.04µm
_2414_,29µm
_2623_,28.98µm
uio_in[7],28.95µm
_0817_,28.84µm
_1322_,28.725µm
_1949_,28.7µm
_1282_,28.68µm
_1795_,28.68µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.rp\[1\],28.66µm
_1376_,28.62µm
_1421_,28.56µm
_2016_,28.56µm
U_TOP.U_CACHE.dc_a1\[11\],28.46µm
U_TOP.U_UART.U_SASC_TOP.tx_bit_cnt\[3\],28.43µm
_1986_,28.28µm
_1945_,28.26µm
_1032_,28.24µm
U_TOP.U_CACHE.ic_d2\[15\],28.22µm
_2019_,28.22µm
_1400_,28.06µm
U_TOP.U_CACHE.ic_d3\[26\],28.04µm
U_TOP.U_UART.BRG.div1\[6\],27.94µm
_1119_,27.94µm
U_TOP.U_CPU.state\[4\],27.9µm
_1137_,27.9µm
U_TOP.U_UART.BRG.ps\[5\],27.88µm
U_TOP.U_CPU.indent\[8\],27.86µm
_1277_,27.86µm
_1849_,27.84µm
_2594_,27.82µm
U_TOP.U_CACHE.dc_d0\[31\],27.78µm
U_TOP.U_CACHE.dc_d1\[22\],27.78µm
_1669_,27.78µm
_2537_,27.64µm
_1981_,27.54µm
U_TOP.U_CACHE.dc_d0\[13\],27.52µm
_2415_,27.49µm
_1049_,27.46µm
_1733_,27.44µm
_0869_,27.36µm
_1179_,27.2µm
_1540_,27.18µm
_0834_,27.1µm
_1471_,27.1µm
_1107_,27.07µm
_0767_,27.06µm
U_TOP.U_CPU.seq\[0\],27.04µm
U_TOP.U_RAM.qspi_txd\[1\],27µm
_1729_,27µm
_2011_,26.9µm
U_TOP.U_CACHE.dc_d1\[5\],26.805µm
U_TOP.U_CACHE.ic_d2\[24\],26.76µm
_0728_,26.66µm
_1116_,26.66µm
U_TOP.U_CACHE.dc_d1\[7\],26.635µm
_2435_,26.58µm
U_TOP.U_CPU.state\[0\],26.575µm
_2361_,26.42µm
_1332_,26.22µm
_1161_,26.18µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[3\]\[6\],26.16µm
_2616_,26.16µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[3\]\[5\],26.08µm
_1987_,26.08µm
U_TOP.U_CACHE.ic_d3\[19\],26.02µm
_2409_,25.94µm
_2608_,25.94µm
_1291_,25.9µm
_0760_,25.8µm
U_TOP.U_CACHE.dc_a1\[3\],25.78µm
U_TOP.U_CPU.indent\[4\],25.73µm
_1146_,25.69µm
_0754_,25.64µm
_1372_,25.6µm
_1148_,25.56µm
_0685_,25.55µm
net687,25.5µm
U_TOP.U_CACHE.if_mis_req_addr_pend\[13\],25.48µm
U_TOP.U_CACHE.ic_a3\[0\],25.46µm
_0741_,25.44µm
_2542_,25.44µm
U_TOP.U_UART.BRG.ps\[6\],25.4µm
_1960_,25.395µm
U_TOP.U_UART.BRG.br_cnt\[1\],25.38µm
_0016_,25.345µm
U_TOP.U_UART.U_SASC_TOP.rx_bit_cnt\[3\],25.31µm
_1387_,25.28µm
U_TOP.U_CACHE.ic_d1\[30\],25.26µm
U_TOP.U_CACHE.ic_a0\[2\],25.24µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.wp\[1\],25.195µm
_1857_,25.14µm
_1275_,25.09µm
_1950_,25.06µm
_2449_,25.04µm
_1982_,25µm
_2288_,25µm
_1173_,24.92µm
_2431_,24.92µm
_1255_,24.86µm
U_TOP.U_CACHE.ic_d2\[22\],24.84µm
U_TOP.U_CPU.indent\[2\],24.84µm
_1172_,24.84µm
net169,24.83µm
U_TOP.U_CACHE.dm_hit_dphase_write,24.76µm
_0898_,24.72µm
_2575_,24.64µm
U_TOP.U_CACHE.ic_a0\[0\],24.62µm
net619,24.6µm
U_TOP.U_CPU.dr_do_dphase,24.58µm
_1859_,24.56µm
_1280_,24.54µm
_1388_,24.54µm
_0885_,24.5µm
_1410_,24.5µm
_2279_,24.46µm
_1985_,24.4µm
U_TOP.U_CACHE.if_hit_dphase,24.38µm
_1329_,24.36µm
U_TOP.U_UART.U_SASC_TOP.hold_reg\[5\],24.34µm
_0702_,24.34µm
U_TOP.U_CACHE.dc_d1\[2\],24.28µm
_1187_,24.26µm
_1279_,24.25µm
_2656_,24.24µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[3\]\[2\],24.12µm
_0968_,24.02µm
_2529_,24µm
_2439_,23.98µm
_1319_,23.92µm
_1775_,23.92µm
_1240_,23.9µm
U_TOP.U_CACHE.ic_d0\[12\],23.88µm
U_TOP.U_CACHE.ic_d2\[25\],23.88µm
U_TOP.U_CACHE.ic_a2\[2\],23.82µm
_1381_,23.8µm
_2008_,23.78µm
U_TOP.U_CACHE.ic_d3\[28\],23.76µm
_1096_,23.74µm
_1056_,23.66µm
_1772_,23.64µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[0\]\[1\],23.62µm
_2377_,23.62µm
U_TOP.U_UART.U_SASC_TOP.rxd_dly\[1\],23.6µm
_1431_,23.54µm
U_TOP.U_CACHE.ic_d3\[23\],23.48µm
U_TOP.U_RAM.addr\[2\],23.405µm
_1445_,23.4µm
_2580_,23.38µm
_1759_,23.34µm
U_TOP.U_CACHE.dc_a1\[0\],23.3µm
_2525_,23.295µm
_1641_,23.26µm
_1295_,23.24µm
_2157_,23.22µm
_1457_,23.2µm
_2014_,23.16µm
_1133_,23.12µm
U_TOP.U_CACHE.dc_d0\[21\],23.1µm
_2061_,23.08µm
_1122_,23.06µm
_2070_,23.03µm
U_TOP.U_CACHE.bus_pend_wdata\[26\],23µm
_0816_,23µm
_0934_,22.98µm
_2530_,22.98µm
U_TOP.U_CPU.indent\[9\],22.97µm
_1865_,22.94µm
_1330_,22.86µm
_1816_,22.86µm
_2385_,22.86µm
U_TOP.U_CPU.indent\[5\],22.84µm
_2607_,22.8µm
_0846_,22.76µm
U_TOP.U_CACHE.if_mis_req_addr_pend\[8\],22.74µm
U_TOP.U_CACHE.ic_a1\[2\],22.72µm
_1619_,22.72µm
_2541_,22.72µm
U_TOP.U_CACHE.ic_d1\[6\],22.7µm
U_TOP.U_UART.BRG.div1\[7\],22.68µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[1\]\[6\],22.68µm
_0875_,22.64µm
_2427_,22.56µm
net210,22.56µm
U_TOP.U_CACHE.dc_d0\[25\],22.54µm
_1908_,22.54µm
_1078_,22.46µm
_1782_,22.46µm
_2047_,22.46µm
_1844_,22.42µm
_2117_,22.34µm
_1163_,22.24µm
U_TOP.U_CPU.indent\[15\],22.23µm
_1093_,22.22µm
U_TOP.U_UART.BRG.br_cnt\[4\],22.21µm
_2413_,22.2µm
U_TOP.U_CACHE.dc_d1\[20\],22.155µm
_2419_,22.14µm
U_TOP.U_CACHE.ic_d3\[15\],22.04µm
_2527_,22.02µm
_0820_,21.98µm
U_TOP.U_CACHE.ic_d0\[22\],21.96µm
_0076_,21.96µm
_1276_,21.96µm
U_TOP.U_CACHE.ic_a0\[5\],21.94µm
_2295_,21.92µm
U_TOP.U_UART.U_SASC_TOP.rxd_r1,21.91µm
_0874_,21.9µm
_1283_,21.9µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[2\]\[0\],21.885µm
_1191_,21.74µm
_1615_,21.715µm
U_TOP.U_UART.U_SASC_TOP.tx_bit_cnt\[1\],21.7µm
_2315_,21.68µm
U_TOP.U_CACHE.ic_d2\[7\],21.625µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[1\]\[1\],21.62µm
_1591_,21.61µm
U_TOP.U_UART.U_SASC_TOP.dpll_state\[1\],21.58µm
_0141_,21.565µm
_2241_,21.56µm
_1995_,21.52µm
rst_n,21.51µm
U_TOP.U_RAM.qspi_rxd_temp\[0\],21.46µm
_2496_,21.46µm
_1535_,21.44µm
_2208_,21.44µm
U_TOP.U_UART.BRG.br_cnt\[7\],21.4µm
U_TOP.U_CACHE.ic_d3\[13\],21.38µm
_0764_,21.325µm
_1406_,21.3µm
_1085_,21.24µm
U_TOP.U_CACHE.ic_d0\[11\],21.2µm
_1270_,21.18µm
_0791_,21.14µm
_1558_,21.1µm
_2615_,21.1µm
_0686_,21.06µm
_2225_,21.04µm
U_TOP.U_CACHE.dc_d0\[18\],21.025µm
_2336_,21.02µm
U_TOP.U_CACHE.bus_wrte,21µm
_1449_,21µm
_1407_,20.98µm
_0732_,20.96µm
_2227_,20.96µm
U_TOP.U_CACHE.DM_ADDR\[4\],20.9µm
_0841_,20.9µm
_1274_,20.88µm
_1151_,20.86µm
_1296_,20.86µm
U_TOP.U_RAM.state\[2\],20.84µm
U_TOP.U_CACHE.ic_a0\[10\],20.82µm
_2146_,20.82µm
_2455_,20.82µm
net712,20.8µm
_1239_,20.78µm
_2610_,20.74µm
U_TOP.U_CACHE.ic_d1\[2\],20.72µm
_2670_,20.7µm
_2421_,20.68µm
_1374_,20.64µm
U_TOP.U_CACHE.ic_d0\[0\],20.57µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[3\]\[3\],20.56µm
_0939_,20.56µm
U_TOP.U_CACHE.ic_d0\[26\],20.54µm
_1605_,20.54µm
_1746_,20.5µm
_2511_,20.5µm
_0700_,20.46µm
U_TOP.U_UART.BRG.div0\[4\],20.44µm
_0295_,20.44µm
_1918_,20.42µm
_2376_,20.42µm
_0731_,20.4µm
U_TOP.U_CACHE.dc_a1\[5\],20.38µm
_2446_,20.38µm
_1736_,20.29µm
U_TOP.U_UART.U_SASC_TOP.hold_reg\[1\],20.28µm
_0748_,20.26µm
_1158_,20.24µm
_0852_,20.22µm
_1393_,20.22µm
_1976_,20.22µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[0\]\[0\],20.2µm
_0881_,20.16µm
_0953_,20.14µm
_2138_,20.14µm
U_TOP.U_CACHE.ic_d0\[25\],20.12µm
_2655_,20.1µm
U_TOP.U_CACHE.ic_a1\[7\],20.04µm
_0782_,20.03µm
_1537_,20.02µm
_0880_,19.98µm
_2022_,19.96µm
_2411_,19.96µm
U_TOP.U_CACHE.ic_d3\[30\],19.94µm
_0910_,19.92µm
_2311_,19.92µm
_1997_,19.88µm
U_TOP.U_UART.BRG.br_cnt\[5\],19.84µm
U_TOP.U_CACHE.ic_d1\[12\],19.82µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[1\]\[5\],19.74µm
_1328_,19.74µm
_0320_,19.7µm
_2149_,19.7µm
U_TOP.U_CACHE.if_mis_req_addr_pend\[11\],19.66µm
U_TOP.U_UART.BRG.br_cnt\[0\],19.66µm
_1327_,19.66µm
U_TOP.U_CACHE.ic_d1\[9\],19.64µm
_1792_,19.56µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[2\]\[1\],19.54µm
_2457_,19.54µm
_2678_,19.54µm
U_TOP.U_CPU.ir_do_dphase,19.52µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[1\]\[3\],19.52µm
_1412_,19.52µm
net2,19.52µm
_1754_,19.48µm
_1930_,19.48µm
_0705_,19.44µm
_0995_,19.44µm
_1211_,19.42µm
U_TOP.U_CACHE.dc_d1\[17\],19.4µm
_0755_,19.4µm
_0889_,19.4µm
_0945_,19.4µm
_1238_,19.4µm
_2027_,19.38µm
_1802_,19.32µm
_1670_,19.315µm
_1315_,19.3µm
_2566_,19.27µm
_1551_,19.26µm
net382,19.245µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[0\]\[6\],19.24µm
U_TOP.U_CPU.indent\[12\],19.22µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[3\]\[4\],19.2µm
U_TOP.U_CPU.ir_data_keep\[7\],19.18µm
_1195_,19.16µm
_2417_,19.16µm
_1246_,19.14µm
U_TOP.U_CACHE.dc_d0\[20\],19.13µm
_0721_,19.1µm
_1745_,19.1µm
U_TOP.U_CACHE.dc_d1\[0\],19.035µm
_1152_,18.94µm
_2509_,18.94µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[1\]\[6\],18.92µm
_1389_,18.92µm
_1467_,18.9µm
_1541_,18.9µm
U_TOP.U_CACHE.dc_d0\[17\],18.86µm
U_TOP.U_CACHE.ic_d3\[8\],18.86µm
_1961_,18.86µm
_1080_,18.78µm
_1180_,18.78µm
_0215_,18.72µm
_1278_,18.72µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[2\]\[4\],18.71µm
_2672_,18.7µm
U_TOP.U_CACHE.ic_a0\[4\],18.68µm
_0876_,18.68µm
U_TOP.U_CACHE.ic_d2\[23\],18.66µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[0\]\[0\],18.64µm
_1850_,18.64µm
_2482_,18.62µm
_2013_,18.58µm
_0823_,18.56µm
U_TOP.U_CACHE.ic_d1\[23\],18.54µm
_0984_,18.54µm
_2388_,18.54µm
U_TOP.U_RAM.qspi_rxd_temp\[2\],18.52µm
_0958_,18.52µm
_1331_,18.505µm
_1150_,18.5µm
_0832_,18.48µm
U_TOP.U_CACHE.ic_d1\[29\],18.46µm
_2453_,18.46µm
_1309_,18.38µm
_2641_,18.36µm
_1117_,18.32µm
_0314_,18.3µm
_1109_,18.3µm
_0790_,18.26µm
_2179_,18.26µm
U_TOP.U_RAM.wdata\[6\],18.24µm
_0974_,18.22µm
_2571_,18.22µm
U_TOP.U_UART.BRG.cnt\[0\],18.2µm
_0697_,18.2µm
_0726_,18.2µm
_1068_,18.16µm
net470,18.14µm
_1175_,18.1µm
U_TOP.U_CACHE.ic_d1\[18\],18.08µm
_1884_,18.08µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[1\]\[2\],18.06µm
_0780_,18.06µm
_1437_,18.06µm
U_TOP.U_CACHE.dc_d1\[1\],18.04µm
_0174_,18.04µm
_0186_,18.04µm
U_TOP.U_CACHE.dc_d0\[23\],18.02µm
U_TOP.U_CACHE.ic_d2\[31\],18µm
_2246_,18µm
_0170_,17.98µm
_2337_,17.96µm
U_TOP.U_CACHE.bus_pend_wdata\[14\],17.94µm
U_TOP.U_CPU.indent\[6\],17.94µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[1\]\[4\],17.94µm
_0896_,17.92µm
_0904_,17.9µm
net529,17.9µm
_0091_,17.885µm
_1188_,17.88µm
_1446_,17.88µm
_1608_,17.88µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[3\]\[0\],17.86µm
_1692_,17.86µm
_1735_,17.86µm
U_TOP.U_CACHE.ic_d1\[22\],17.82µm
_1428_,17.82µm
U_TOP.U_CACHE.dc_a1\[1\],17.8µm
_0901_,17.8µm
net441,17.8µm
_2675_,17.78µm
_1991_,17.76µm
U_TOP.U_UART.U_SASC_TOP.rx_bit_cnt\[2\],17.75µm
U_TOP.U_CACHE.ic_d0\[20\],17.7µm
U_TOP.U_CACHE.bus_repl_addr\[12\],17.69µm
_1365_,17.68µm
U_TOP.U_CACHE.bus_pend_wdata\[8\],17.64µm
U_TOP.U_CPU.ir_data\[4\],17.64µm
U_TOP.U_RAM.wdata\[3\],17.62µm
_1377_,17.6µm
_2650_,17.6µm
_2374_,17.58µm
_2015_,17.555µm
_2247_,17.54µm
_2408_,17.52µm
_1695_,17.5µm
U_TOP.U_CACHE.ic_d0\[14\],17.46µm
U_TOP.U_RAM.wdata\[5\],17.42µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[0\]\[3\],17.42µm
_0015_,17.42µm
U_TOP.U_CACHE.ic_d0\[23\],17.4µm
U_TOP.U_CACHE.ic_d0\[2\],17.4µm
net678,17.38µm
U_TOP.U_CPU.ir_data\[1\],17.36µm
U_TOP.U_CACHE.ic_a0\[8\],17.34µm
_1454_,17.32µm
U_TOP.U_CACHE.ic_d2\[27\],17.3µm
net412,17.3µm
U_TOP.U_CACHE.bus_pend_addr\[4\],17.29µm
U_TOP.U_CACHE.bus_pend_wdata\[22\],17.285µm
U_TOP.U_CACHE.ic_v1,17.28µm
_1196_,17.22µm
U_TOP.U_CACHE.bus_pend_wdata\[30\],17.2µm
U_TOP.U_UART.BRG.div1\[5\],17.2µm
_1266_,17.2µm
_0902_,17.19µm
U_TOP.U_CACHE.ic_d0\[19\],17.14µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[3\]\[1\],17.14µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[3\]\[2\],17.14µm
_1955_,17.14µm
_1409_,17.12µm
_1397_,17.1µm
_1943_,17.06µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[0\]\[3\],17.02µm
_1440_,17.02µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[3\]\[0\],16.98µm
_0915_,16.98µm
_1922_,16.96µm
U_TOP.U_CACHE.if_mis_dphase,16.94µm
_1002_,16.94µm
_1139_,16.94µm
_1318_,16.94µm
U_TOP.U_CACHE.ic_d2\[10\],16.92µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[0\]\[2\],16.9µm
_1863_,16.9µm
_1847_,16.88µm
_2609_,16.87µm
U_TOP.U_CACHE.ic_d3\[5\],16.86µm
_2640_,16.84µm
U_TOP.U_CACHE.ic_d1\[21\],16.825µm
U_TOP.U_CACHE.ic_a0\[3\],16.82µm
_1086_,16.82µm
_1508_,16.82µm
U_TOP.U_CACHE.ic_d1\[5\],16.78µm
_1399_,16.78µm
_1915_,16.76µm
_2309_,16.74µm
U_TOP.U_CACHE.dc_a1\[6\],16.72µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[0\]\[5\],16.72µm
_1773_,16.72µm
_2078_,16.705µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[2\]\[0\],16.7µm
_0730_,16.7µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[2\]\[6\],16.65µm
U_TOP.U_CPU.indent\[14\],16.64µm
net3,16.64µm
_0118_,16.625µm
_1761_,16.62µm
U_TOP.U_CACHE.bus_pend_addr\[13\],16.6µm
_1143_,16.6µm
_1478_,16.6µm
_0304_,16.585µm
U_TOP.U_CPU.indent\[1\],16.58µm
U_TOP.U_CACHE.ic_d2\[18\],16.54µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[2\]\[5\],16.53µm
U_TOP.U_RAM.wdata\[1\],16.52µm
U_TOP.U_CACHE.bus_pend_addr\[7\],16.5µm
U_TOP.U_CACHE.bus_repl_addr\[13\],16.5µm
U_TOP.U_CACHE.bus_pend_addr\[10\],16.48µm
U_TOP.U_RAM.qspi_sckenb2,16.46µm
U_TOP.U_CACHE.dc_a1\[8\],16.44µm
U_TOP.U_CACHE.ic_d1\[0\],16.44µm
U_TOP.U_CPU.state\[2\],16.4µm
U_TOP.U_UART.U_SASC_TOP.load,16.4µm
_0908_,16.38µm
_2174_,16.38µm
_2021_,16.37µm
U_TOP.U_CACHE.ic_d1\[13\],16.34µm
_1460_,16.32µm
_2598_,16.32µm
_1801_,16.3µm
_0576_,16.28µm
_0724_,16.28µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[2\]\[3\],16.265µm
U_TOP.U_RAM.qspi_rxd_temp\[3\],16.26µm
_1069_,16.26µm
_1765_,16.26µm
_2331_,16.26µm
U_TOP.U_CACHE.bus_repl_addr\[5\],16.22µm
_2281_,16.2µm
_2459_,16.18µm
U_TOP.QSPI_CS_E,16.16µm
U_TOP.U_CPU.indent\[7\],16.16µm
_2578_,16.15µm
_2504_,16.1µm
_1326_,16.04µm
_1854_,16.02µm
_1719_,16.015µm
U_TOP.U_CACHE.dm_mis_dphase,16µm
U_TOP.U_UART.U_SASC_TOP.rx_sio_ce_d,15.98µm
_1184_,15.98µm
_2272_,15.98µm
_1911_,15.96µm
_1975_,15.96µm
U_TOP.U_CPU.if_code_keep\[2\],15.95µm
_1441_,15.94µm
_2445_,15.94µm
_2680_,15.94µm
_1047_,15.92µm
_2293_,15.88µm
net445,15.88µm
U_TOP.U_CACHE.ic_d2\[30\],15.86µm
U_TOP.U_CACHE.if_mis_req_addr_pend\[10\],15.86µm
net6,15.84µm
U_TOP.U_CPU.state\[3\],15.82µm
U_TOP.U_UART.div1_dphase,15.82µm
_0848_,15.82µm
_1420_,15.82µm
_0089_,15.805µm
_0106_,15.805µm
_0812_,15.8µm
_1800_,15.8µm
U_TOP.U_CACHE.ic_a2\[1\],15.78µm
_0734_,15.78µm
U_TOP.U_CACHE.ic_a2\[3\],15.76µm
_2160_,15.76µm
net646,15.76µm
net679,15.76µm
U_TOP.U_CACHE.ic_d1\[7\],15.755µm
U_TOP.U_RAM.qspi_txd\[0\],15.72µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[2\]\[2\],15.72µm
_2001_,15.72µm
_2095_,15.7µm
_2084_,15.68µm
U_TOP.U_CACHE.IF_ADDR\[14\],15.64µm
U_TOP.U_CACHE.bus_pend_wdata\[29\],15.64µm
_1186_,15.64µm
U_TOP.U_CACHE.if_mis_req_addr_pend\[9\],15.6µm
_1228_,15.6µm
_2368_,15.6µm
_1633_,15.57µm
_1284_,15.56µm
net830,15.56µm
_1321_,15.54µm
U_TOP.U_CACHE.ic_v0,15.51µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[3\]\[6\],15.46µm
_1333_,15.44µm
_2307_,15.44µm
_2593_,15.44µm
U_TOP.U_CACHE.ic_d2\[1\],15.42µm
